Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3611,L Gordis,Epidemiology E-Book,2013,,books.google.com,https://books.google.com/books?hl=en&lr=&id=7YX6AQAAQBAJ&oi=fnd&pg=PP1&ots=WTrUJ7jL5F&sig=H1g5GhHaw7IdR-kB_ZPco3d_8oQ,"https://scholar.google.com/scholar?cites=9136512659110196489&as_sdt=40005&sciodt=0,10&hl=en",1,2/3/2022 14:17,BOOK,,,,,,,,3611,401.22,3611,1,9,"Epidemiology, by award-winning educator and epidemiologist Leon Gordis, is a best-selling introduction to this complex science. Dr. Gordis leverages his vast experience teaching this subject in the classroom to introduce the basic principles and concepts of epidemiology in a …",https://ph.ucla.edu/sites/default/files/attachments/EPI%20DEM%20100%20Syllabus.pdf,"https://scholar.google.com/scholar?q=related:CXUfLNtpy34J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
1694,"TJ VanderWeele, P Ding",Sensitivity analysis in observational research: introducing the E-value,2017,Annals of internal medicine,acpjournals.org,https://www.acpjournals.org/doi/abs/10.7326/M16-2607,"https://scholar.google.com/scholar?cites=12011999538997278820&as_sdt=40005&sciodt=0,10&hl=en",2,2/3/2022 14:17,,10.7326/M16-2607,,,,,,,1694,338.8,847,2,5,"Sensitivity analysis is useful in assessing how robust an association is to potential unmeasured or uncontrolled confounding. This article introduces a new measure called the “E-value,” which is related to the evidence for causality in observational studies that are …",https://dash.harvard.edu/bitstream/handle/1/36874927/EValue_FinalSubmission.pdf?sequence=1&isAllowed=y,"https://scholar.google.com/scholar?q=related:ZLgWPPAxs6YJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
1365,"AW Hayes, CL Kruger",Hayes' principles and methods of toxicology,2014,,books.google.com,https://books.google.com/books?hl=en&lr=&id=p4fOBQAAQBAJ&oi=fnd&pg=PP1&ots=WbzmACmiI7&sig=mnDe-YrqnR81gftHD1cmRAp6Xws,"https://scholar.google.com/scholar?cites=1483682438296179607&as_sdt=40005&sciodt=0,10&hl=en",3,2/3/2022 14:17,BOOK,,,,,,,,1365,170.63,683,2,8,"Hayes' Principles and Methods of Toxicology has long been established as a reliable reference to the concepts, methodologies, and assessments integral to toxicology. The new sixth edition has been revised and updated while maintaining the same high standards that …",http://www.whilesciencesleeps.com/pdf/317.pdf,"https://scholar.google.com/scholar?q=related:lxMhFlEZlxQJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
1265,"JP Vandenbroucke, E von Elm, DG Altman, ...",Strengthening the Reporting of Observational Studies in Epidemiology (STROBE): explanation and elaboration,2014,International journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1743919114002131,"https://scholar.google.com/scholar?cites=9904508225458939442&as_sdt=40005&sciodt=0,10&hl=en",4,2/3/2022 14:17,HTML,,,,,,,,1265,158.13,316,4,8,Much medical research is observational. The reporting of observational studies is often of insufficient quality. Poor reporting hampers the assessment of the strengths and weaknesses of a study and the generalisability of its results. Taking into account empirical …,https://www.sciencedirect.com/science/article/pii/S1743919114002131,"https://scholar.google.com/scholar?q=related:MiZqNcHhc4kJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
608,"KM Nieman, IL Romero, B Van Houten, ...",Adipose tissue and adipocytes support tumorigenesis and metastasis,2013,Biochimica et Biophysica …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1388198113000577,"https://scholar.google.com/scholar?cites=14656218816163547051&as_sdt=40005&sciodt=0,10&hl=en",5,2/3/2022 14:17,,,,,,,,,608,67.56,152,4,9,"Adipose tissue influences tumor development in two major ways. First, obese individuals have a higher risk of developing certain cancers (endometrial, esophageal, and renal cell cancer). However, the risk of developing other cancers (melanoma, rectal, and ovarian) is …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3742583/,"https://scholar.google.com/scholar?q=related:qwfTf1xZZcsJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
581,G Kleck,Targeting guns: Firearms and their control,2017,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9781315130644/targeting-guns-gary-kleck,"https://scholar.google.com/scholar?cites=11584896962429835115&as_sdt=40005&sciodt=0,10&hl=en",6,2/3/2022 14:17,BOOK,10.4324/9781315130644,,,,,,,581,116.2,581,1,5,"This new paperback comprehensively reviews the research evidence on the links between guns, violence, and gun control, and reports results of the author's own research as well. In Targeting Guns, Kleck follows the line of argument and careful statistical inference of his …",,"https://scholar.google.com/scholar?q=related:a9chbWjSxaAJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
554,"K Casazza, KR Fontaine, A Astrup, ...","Myths, presumptions, and facts about obesity",2013,… England Journal of …,Mass Medical Soc,https://www.nejm.org/doi/full/10.1056/NEJMsa1208051,"https://scholar.google.com/scholar?cites=1088488772842835802&as_sdt=40005&sciodt=0,10&hl=en",7,2/3/2022 14:17,HTML,10.1056/NEJMsa1208051,,,,,,,554,61.56,139,4,9,"Background Many beliefs about obesity persist in the absence of supporting scientific evidence (presumptions); some persist despite contradicting evidence (myths). The promulgation of unsupported beliefs may yield poorly informed policy decisions, inaccurate …",https://www.nejm.org/doi/full/10.1056/NEJMsa1208051,"https://scholar.google.com/scholar?q=related:Wk9Ml8UWGw8J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
470,"A Alyass, M Turcotte, D Meyre",From big data analysis to personalized medicine for all: challenges and opportunities,2015,BMC medical genomics,Springer,https://link.springer.com/article/10.1186/s12920-015-0108-y,"https://scholar.google.com/scholar?cites=1754966477491496503&as_sdt=40005&sciodt=0,10&hl=en",8,2/3/2022 14:17,HTML,10.1186/s12920-015-0108-y,,,,,,,470,67.14,157,3,7,"Recent advances in high-throughput technologies have led to the emergence of systems biology as a holistic science to achieve more precise modeling of complex diseases. Many predict the emergence of personalized medicine in the near future. We are, however …",https://link.springer.com/article/10.1186/s12920-015-0108-y,"https://scholar.google.com/scholar?q=related:N2aZi7bkWhgJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
341,"DE Grobbee, AW Hoes","Clinical epidemiology: principles, methods, and applications for clinical research",2014,,books.google.com,https://books.google.com/books?hl=en&lr=&id=ZvbpAgAAQBAJ&oi=fnd&pg=PR1&ots=x68tX2xr6A&sig=gQrm3LhO7OvdL_GKInJ47SE6uVU,"https://scholar.google.com/scholar?cites=17412448432938507433&as_sdt=40005&sciodt=0,10&hl=en",9,2/3/2022 14:17,BOOK,,,,,,,,341,42.63,171,2,8,"Now updated with new data and examples throughout, Clinical Epidemiology: Principles, Methods, and Applications for Clinical Research, Second Edition is a comprehensive resource that introduces the reader to the basics of clinical epidemiology and explores the …",http://samples.jblearning.com/9781449674328/9781449674328_FMxx_Final.pdf,"https://scholar.google.com/scholar?q=related:qVwbO5hxpfEJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
336,"MF Vaezi, YX Yang, CW Howden",Complications of proton pump inhibitor therapy,2017,Gastroenterology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0016508517356238,"https://scholar.google.com/scholar?cites=12196361637466770471&as_sdt=40005&sciodt=0,10&hl=en",10,2/3/2022 14:17,,,,,,,,,336,67.2,112,3,5,"Safety issues associated with proton pump inhibitors (PPIs) have recently attracted widespread media and lay attention. Gastroenterologists are frequently asked about the appropriateness of PPI therapy for specific patients. Furthermore, some patients may have …",http://endotoday.com/endotoday/PPI_adverse_01.pdf,"https://scholar.google.com/scholar?q=related:J4xoSUouQqkJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
